trans_id,buyer_id,buyer,level1,level2,level3,supplier,supplier_id,proclass_code,proclass_title,proclass_level1,proclass_level2,proclass_level3,date,amount
NFTRXW_STHNFT_gov_2018_12_897,NFTRXW_STHNFT_gov,SHREWSBURY AND TELFORD HOSPITALS NFT,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,2250
E1401_BHCC_gov_2018_01_930,E1401_BHCC_gov,BRIGHTON & HOVE CITY COUNCIL,Local Government,SOUTH EAST,East Sussex,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-01-01,7309.6
E5014_HAFLBC_gov_2019_06_8270,E5014_HAFLBC_gov,HAMMERSMITH AND FULHAM LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,5888
FTRBAX_TASNFT_gov_2019_04_12,FTRBAX_TASNFT_gov,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,Not Classified,,,,,2019-04-01,139615.2
FTRAEX_BTHNFT_gov_2018_11_77,FTRAEX_BTHNFT_gov,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-11-01,55000
E4207_SMBC_gov_2018_10_1260,E4207_SMBC_gov,STOCKPORT METROPOLITAN BOROUGH COUNCIL,Local Government,NORTH WEST,Greater Manchester,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-10-01,10000
DID030_DFID_gov_2019_06_757,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,11092
DID030_DFID_gov_2019_06_758,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,25310
DID030_DFID_gov_2019_06_759,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,16141
DID030_DFID_gov_2019_06_760,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,8691
DID030_DFID_gov_2019_06_761,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,13628
DID030_DFID_gov_2019_06_762,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,5972
DID030_DFID_gov_2019_06_763,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,1035
DID030_DFID_gov_2019_06_764,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Central Government,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,Ministerial Department,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,20945
HMT087_HT_gov_2018_10_41,HMT087_HT_gov,HM TREASURY,Central Government,HM TREASURY,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-10-01,122226.75
HMT087_HT_gov_2018_12_40,HMT087_HT_gov,HM TREASURY,Central Government,HM TREASURY,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,122226.75
HMT087_HT_gov_2018_12_41,HMT087_HT_gov,HM TREASURY,Central Government,HM TREASURY,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,804000
E1201_PBO_gov_2017_11_4639,E1201_PBO_gov,POOLE BOROUGH OF,Local Government,SOUTH WEST,DORSET,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-11-01,20000
MOD017_MOD_gov_2018_12_103,MOD017_MOD_gov,MINISTRY OF DEFENCE,Central Government,MINISTRY OF DEFENCE,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,1466256
RJE_UHONMNT_gov_2018_07_20,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-07-01,64620
NFTRTH_OUHNHST_gov_2017_12_227,NFTRTH_OUHNHST_gov,OXFORD UNIVERSITY HOSPITALS NHST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,557595
E1701_PCC_gov_2018_02_320,E1701_PCC_gov,PORTSMOUTH CITY COUNCIL,Local Government,SOUTH EAST,Hampshire,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-02-01,5137
E1701_PCC_gov_2018_05_3068,E1701_PCC_gov,PORTSMOUTH CITY COUNCIL,Local Government,SOUTH EAST,Hampshire,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-05-01,21500
E1201_PBO_gov_2017_10_4187,E1201_PBO_gov,POOLE BOROUGH OF,Local Government,SOUTH WEST,DORSET,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,55090
E1201_PBO_gov_2017_10_4188,E1201_PBO_gov,POOLE BOROUGH OF,Local Government,SOUTH WEST,DORSET,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,24479
NFTRAP_NMUHNFT_gov_2018_11_38,NFTRAP_NMUHNFT_gov,NORTH MIDDLESEX UNIVERSITY HOSPITAL NFT,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-11-01,59334
RJE_UHONMNT_gov_2018_07_21,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-07-01,54381.95
RJE_UHONMNT_gov_2018_10_44,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-10-01,47412
RJE_UHONMNT_gov_2018_11_46,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-11-01,160800
RJE_UHONMNT_gov_2018_11_45,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-11-01,252720
E2001_EROYC_gov_2018_02_6034,E2001_EROYC_gov,EAST RIDING OF YORKSHIRE COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-02-01,10000
RJE_UHONMNT_gov_2018_12_44,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,211440
RJE_UHONMNT_gov_2018_12_45,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,40694.4
RJE_UHONMNT_gov_2018_12_46,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,125241.6
RJE_UHONMNT_gov_2018_12_47,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,37248
RJE_UHONMNT_gov_2018_12_48,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,160800
RJE_UHONMNT_gov_2018_12_49,RJE_UHONMNT_gov,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS,"","",DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-12-01,154800
E2002_KUHCC_gov_2017_09_1282,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-09-01,31963.48
E2002_KUHCC_gov_2018_02_1381,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-02-01,4659.9
E2002_KUHCC_gov_2018_02_1382,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-02-01,442.52
E2002_KUHCC_gov_2018_02_6957,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-02-01,613.14
E2002_KUHCC_gov_2018_02_6958,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-02-01,-239.13
E2002_KUHCC_gov_2018_01_1693,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-01-01,2452.57
E2002_KUHCC_gov_2018_01_1694,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-01-01,35918.51
E2002_KUHCC_gov_2018_01_1695,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2018-01-01,-10628.98
E2002_KUHCC_gov_2018_02_1616,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,151515,Healthcare - Public Health - Not Elsewhere Classified,Healthcare,Public Health,Not Elsewhere Classified,2018-02-01,-4353.31
E2002_KUHCC_gov_2017_12_1698,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-12-01,40823.65
E2002_KUHCC_gov_2017_12_1699,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-12-01,-11224.4
E2002_KUHCC_gov_2017_12_1700,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,151515,Healthcare - Public Health - Not Elsewhere Classified,Healthcare,Public Health,Not Elsewhere Classified,2017-12-01,1716.8
E2002_KUHCC_gov_2017_09_1283,E2002_KUHCC_gov,KINGSTON UPON HULL CITY COUNCIL,Local Government,YORKSHIRE & HUMBER,East Riding,DELOITTE LLP,OC303675,201000,Financial Services - Accountancy,Financial Services,Accountancy,,2017-09-01,-6972.69
FTRGDX_LAYPNFT_gov_2017_10_11,FTRGDX_LAYPNFT_gov,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-10-01,29403.6
E5015_ILBC_gov_2018_01_58,E5015_ILBC_gov,ISLINGTON LONDON BOROUGH COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-01-01,15157.75
E5022_WCC_gov_2017_11_169,E5022_WCC_gov,WESTMINSTER CITY COUNCIL,Local Government,LONDON,London,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-11-01,10000
E1401_BHCC_gov_2019_06_1026,E1401_BHCC_gov,BRIGHTON & HOVE CITY COUNCIL,Local Government,SOUTH EAST,East Sussex,DELOITTE LLP,OC303675,Not Classified,,,,,2019-06-01,3071.1
MOD017_MOD_gov_2017_12_289,MOD017_MOD_gov,MINISTRY OF DEFENCE,Central Government,MINISTRY OF DEFENCE,Ministerial Department,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2017-12-01,350575.85
FTRP4X_GOSHCNHSFT_gov_2018_03_104,FTRP4X_GOSHCNHSFT_gov,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,NHS,,,DELOITTE LLP,OC303675,151000,Consultancy - Business,Consultancy,Business,,2018-03-01,41560.8
