ocid,releasedate,buyer_id,buyer,supplier,supplier_id,aw_total_suppliers
ocds-0c46vo-0070-2407,2017-04-21 00:00:00+00,,"DEPARTMENT FOR INFRASTRUCTURE, 11 NORTHERN IRELAND COUNCILS AND REGIONAL PROPERTY CERTIFICATE UNIT.",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-5026,2017-08-11 00:00:00+00,,"DEPARTMENT FOR TRANSPORT, AVIATION SECURITY – INTERNATIONAL OPERATIONS (ASIO) DIVISION",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-5078,2017-08-17 00:00:00+00,,"IMMIGRATION TECHNOLOGY, UK VISAS AND IMMIGRATION, AND IMMIGRATION ENFORCEMENT",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-9251,2019-03-11 00:00:00+00,,EDUCATION AND SKILLS FUNDING AGENCY (DFE),DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-9644,2019-05-09 00:00:00+00,DID030_DFID_gov,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-6230,2018-02-09 00:00:00+00,,"ARMY HQ, ANDOVER, HAMPSHIRE",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-8276,2018-11-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-10218,2019-07-25 00:00:00+00,UKT013_DFIT_gov,DEPARTMENT FOR INTERNATIONAL TRADE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-5428,2017-10-06 00:00:00+00,HOF034_HO_gov,HOME OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-8388,2018-11-23 00:00:00+00,PAO084_IPO_gov,INTELLECTUAL PROPERTY OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-10124,2019-07-15 00:00:00+00,,COVENTRY UNIVERSITY ON BEHALF OF THE INSTITUTE OF CODING,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-7911,2018-10-05 00:00:00+00,,"DEPARTMENT FOR TRANSPORT, LOCAL TRANSPORT DIRECTORATE",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-6540,2018-03-22 00:00:00+00,E0102_BCC_gov,BRISTOL CITY COUNCIL,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-6942,2018-05-24 00:00:00+00,DES022_DFE_gov,DEPARTMENT FOR EDUCATION,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-5820,2017-11-29 00:00:00+00,,"MINISTRY OF JUSTICE, HER MAJESTY'S PRISON AND PROBATION SERVICE (HMPPS)",DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-5345,2017-09-26 00:00:00+00,,DEPARTMENT FOR TRANSPORT: BUSES AND TAXIS TEAM,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-10018,2019-07-03 00:00:00+00,,DEPARTMENT FOR TRANSPORT (BUSES AND TAXIS DIVISION),DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-c6b6379f-258c-49db-859a-cce458ac5ea4,2019-12-19 16:01:53+00,E5103_MPA_gov,METROPOLITAN POLICE AUTHORITY,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-800cb482-28ab-486c-afc0-3bc8cbd3c7c6,2018-01-30 13:32:37+00,HOF034_HO_gov,HOME OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-295c1eb9-50ff-47f0-a51d-b30a59c737f0,2018-01-30 13:32:30+00,HOF034_HO_gov,HOME OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0001-ab7be04d-6d94-4446-921c-62b6589bdcf1,2019-12-23 15:45:20+00,,CABINET OFFICE : CABINET OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-10446,2019-08-27 00:00:00+00,,THE FOREIGN AND COMMONWEALTH OFFICE,DELOITTE LLP,OC303675,1
ocds-0c46vo-0070-11154,2019-11-15 00:00:00+00,,"ARMY HEADQUARTERS, ANDOVER",DELOITTE LLP,OC303675,1
